id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,issuer_bank_name,issuer_bank_state,issuer_bank_type,issuer_risk_rating
4524,825,V,Debit,4344676511950444.0,Dec-22,623,YES,2,$24295,Sep-02,2008,No,Wells Fargo,CA,National,MEDIUM
2731,825,,DEBIT,4956965974959986.0,Dec-20,393,YES,2,21968.00,Apr-14,2014,No,Citi,NY,National,Medium
3701,825,,Debit,4582313478255491.0,Feb-24,719,YES,2,$46414,Jul-03,2004,No,Chase Bank,NY,National,Low
42,825,Visa,Credit,4879494103069057.0,Aug-24,693,NO,1,10000000,Jan-03,2012,No,Bank of America,NC,National,Medium
4659,825,Mastercard,Debit (Pre payed),5722874738736011.0,Mar-09,75,YES,1,$28,Sep-08,2009,No,Citi,NY,National,Medium
4537,1746,V,Credit,4404898874682993.0,Sep-03,736,YES,1,$27500,Sep-03,2012,No,JPMorgan Chase,NY,National,Low
1278,1746,VISA,Debit,4001482973848631.0,Jul-22,972,YES,2,$28508,Feb-11,2011,No,Wells Fargo,CA,National,Medium
3687,1746,MASTERCARD,DEB,5627220683410948.0,Jun-22,48,YES,2,10000000,Jul-03,2015,No,Chase Bank,NY,National,Low
3465,1746,Mastercard,Debit (Prepaid),5711382187309326.0,Nov-20,722,YES,2,0.1k,Jun-10,2015,No,Chase Bank,NY,National,Low
3754,1746,unknown,Debit (Prepaid),5766121508358701.0,Feb-23,908,YES,1,ten thousand,Jul-06,2012,No,Capital One,VA,Online,Medium
5144,1718,Mastercard  ,Debit,5495199163052054.0,Mar-22,677,YES,2,$31599,Oct-09,2009,No,U.S. Bank,MN,Regional,Low
2029,1718,Mastercard,Debit,5804499644308599.0,Jul-23,258,NO,2,$27480,Mar-02,2008,No,Citi,NY,National,Medium
2379,1718,Mastercard,Debit,5766352389579834.0,Feb-20,992,YES,1,$26743,Mar-19,2019,No, JPMorgan Chase ,NY,National,Low
2732,1718,Visa,DEB,4242015583697295.0,Jun-20,928,YES,1,$31463,Apr-14,2014,No,Discover Bank,IL,Online,Low
4706,1718,Mastercard,Debit,5191030913182493.0,Jun-24,360,YES,1,$16055,Sep-09,2009,No,Wells Fargo,CA,National,Medium
281,708,VISA   ,Credit,4017261190134817.0,May-15,877,YES,2,$98100,Jan-11,2011,No,citi,NY,National,Medium
1106,708,Mastercard,debit (prepaid),5581970288727991.0,Jun-20,448,YES,1,$62,Feb-07,2007,No,JPMorgan Chase,NY,National,Low
5621,708,Visa,DB,4032240655674503.0,Jun-22,53,YES,1,$132439,Nov-10,2011,No,Capital One,VA,Online,Medium
5165,708,Vissa  ,Debit,4935974646456357.0,Jun-20,649,YES,1,125723.00,Oct-09,2010,No,Truist,NC,Regional,Medium
5757,1164,mastercard,Debit,5905027855347659.0,Jan-22,886,YES,1,34900.00,Dec-99,2012,No,Citi,NY,National,Medium
27,68,V,Credit,4099623033306951.0,Sep-21,74,YES,2,$9900,Jan-02,2019,No,PNC Bank,PA,Regional,Low
4648,68,V,DB,4281200324251212.0,Jul-13,865,YES,2,$21587,Sep-07,2007,No,JPMorgan Chase,NY,National,Low
5435,68,V,Credit Card,4411456925570768.0,Nov-22,922,YES,2,$15800,Nov-05,2011,No,JPMorgan Chase,NY,National,Low
3287,1075,Mastercard,Bank Debit,5202477865497336.0,Apr-22,861,YES,1,$29964,Jun-05,2014,No,Truist,NC,regional,Medium
4761,1075,MASTERCARD,Credit,5089768442116305.0,Jul-23,686,YES,2,-11200,Sep-10,2010,No,Chase Bank,NY,National,Low
5286,1075,Mastercard, Debit,5767339719294372.0,Dec-21,669,NO,2,$26753,Oct-14,2014,No,Ally Bank,MI,Online,Low
744,1711,V  , Debit,4595831603224644.0,May-23,689,NO,2,$17480,Jan-20,2020,No,Bank of America,NC,National,Medium
5559,1116,Master Card,Debit,5341049613275152.0,Sep-21,396,YES,2,$26546,Nov-09,2009,No,U.S. Bank,MN,Regional,Low
4905,1116,Mastercard,Debit,5668831527649353.0,Jan-21,356,YES,1,$23253,Sep-17,2017,No,Citi,NY,National,Medium
79,1116,V,Credit,4400056931148232.0,Feb-21,497,YES,1,$16100,Jan-05,2014,No,Capital One,VA,online,Medium
301,1116,  V,Credit,4808554251869440.0,Feb-21,921,YES,2,"8,700",Jan-12,2012,No,Ally Bank,MI,Online,Low
3115,1116,Mastercard,DEB,5224739362243611.0,Jan-19,922,YES,1,29333.00,May-12,2012,No,Discover Bank,IL,Online,Low
3880,1752,Mastercard,Debit,5294178176133532.0,Jul-24,265,YES,2,"9,496",Jul-09,2012,No,Wells Fargo,CA,National,Medium
1766,192,V,Debit,4857799018106614.0,Jul-21,930,YES,1,$25499,Feb-20,2020,No,Chase Bank,NY,National,Low
1767,192,  V,Debit,4324062360619923.0,Feb-20,358,YES,1,$18641,Feb-20,2020,No,Citi,NY,National,Medium
745,640,Visa,DEB,4852639114720724.0,May-23,995,YES,1,$26019,Jan-20,2020,No,Chase Bank,NY,National,Low
1459,1679,MASTERCARD,Debit,5656383455895230.0,Jan-21,547,YES,1,$25845,Feb-20,2020,No,Capital One,VA,Online,Medium
138,1094,Visa,Deibt,4556928160477229.0,Jun-23,64,YES,2,$2365,Jan-07,2009,No,Truist,NC,Regional,Medium
3755,1094,Mastercard,Debit,5515782790823587.0,Jun-23,419,YES,2,$18684,Jul-06,2017,No,PNC Bank,PA,Regional,Low
1768,1094,Visa,Credit,4508388296516458.0,Feb-21,364,NO,2,$7400,Feb-20,2020,No,Truist,NC,Regional,Medium
5924,1590,Mastercard,Debit,5548265564669334.0,Dec-24,145,YES,2,$4147,Dec-08,2016,No,Citi,NY,National,Medium
6074,1660,VVisa,Debit  (Prepaid),4986270376099447.0,Apr-22,385,YES,1,76,Dec-12,2012,No,Wells Fargo,CA,National,Medium
5923,1660,Discover,Credit,6726060094896113.0,Jan-09,105,NO,1,$4700,Dec-08,2014,No,Capital One,VA,Online,Medium
4223,1660,V,Credit,4157109762296149.0,Jun-21,433,YES,2,$5800,Aug-07,2011,No,CAPITAL ONE,VA,Online,Medium
4455,1660,Mastercard,Debit,5231462717450524.0,Mar-24,754,YES,2,$12082,Aug-16,2016,No,JPMorgan Chase,NY,National,Low Risk
3234,1660,Mastercard ,Credit,5074836567307562.0,Mar-23,741,NO,2,$6000,Jun-02,2010,No,Wells Fargo,CA,National,medium
1005,1660,V,Debit,4986369179342271.0,Nov-09,367,YES,1,$620,Feb-02,2014,No,Chase Bank,NY,National,Low
151,1747,Mastercard,D,5892013969159900.0,Aug-22,879,YES,1,$14499,Jan-08,2008,No,Truist,NC,Regional,Medium
4198,1747,Mastercard,Debit,5179157151686144.0,Jul-23,457,YES,2,$12332,Aug-07,2009,No,Wells Fargo,CA,National,Medium
4403,1747,Mastercard,Debit,5569640141329524.0,Sep-24,904,YES,1,$18424,Aug-13,2013,No,Ally Bank,MI,online,Low
4120,1747,Vissa,Credit,4708914311449293.0,Jul-23,149,NO,1,$15400,Aug-03,2008,No,Chase Bank,NY,National,Low
4224,1747,Visa,Debit,4795724941278913.0,Feb-22,136,YES,2,$14548,Aug-07,2013,No,Bank of America,NC,National,Medium
4895,1747,Mastercard,Credit,5300159511214994.0,Dec-16,740,YES,2,$10100,Sep-16,2016,No,Discover Bank,IL,Online,Low
1028,153,Discover,CC,6580244636542196.0,Apr-11,416,YES,1,$11200,Feb-04,2008,No,Capital One,VA,Online,Medium
5956,153,Mastercard,Debit,5032457975030967.0,Oct-24,240,YES,2,$20291,Dec-09,2011,No,Wells Fargo,CA,National,Medium
107,153,Visa,Debiit,4382324870900908.0,Aug-18,852,YES,1,$32092,Jan-06,2010,No,Citi,NY,National,Medium
440,153,Mastercard,Debit,5456808094753905.0,Feb-20,217,YES,1,-20463,Jan-20,2020,No,Ally Bank,MI,Online,Low
746,429,Visa,Debit,4465362453388909.0,Aug-22,738,YES,1,$15802,Jan-20,2020,No,JPMorgan Chase,NY,National,Low
1769,429,Visa,Debit,4668447208616693.0,Feb-20,314,NO,2,4612.00,Feb-20,2020,No,JPMorgan Chase,NY,National,Low
421,429,Discover,Cedit,6377595394803324.0,Jul-20,675,YES,2,"19,900",Jan-20,2020,No,Capital One,VA,Online,Medium
974,511,Mastercard,Debit (Prepaid),5117090980312402.0,Oct-20,42,YES,1,$73,Feb-00,2012,No, Chase Bank ,NY,National,Low
4707,511,  Mastercard,DEBIT,5377858405611171.0,Jan-24,24,YES,1,$11858,Sep-09,2010,No,Capital One,VA,Online,Medium
7,511,Mastercard, Debit,5585238056278288.0,Mar-05,749,YES,1,$9664,01-01-98,2011,No,Chase Bank,NY,National,Low
2212,511,Mastercard,Debit,5355281784290567.0,Jun-20,810,YES,1,"8,367",Mar-09,2009,No,Capital One,VA,Online,Medium
1038,511,Visa,Credit,4150093118072729.5,Jun-22,135,YES,2,"6,100",Feb-04,2009,No,Citi,NY,National,medium
1460,309,Mastercard,Debit,5979295728871785.0,Feb-20,630,YES,3,"9,944",Feb-20,2020,No,u.s. bank,MN,Regional,low
747,309,VISA,CC,4473643731469839.0,Jan-20,771,YES,1,"7,900",Jan-20,2020,No,PNC Bank,PA,Regional,Low
1770,309, Visa,Credit,4800116569994473.0,Dec-20,201,YES,1,$5600,Feb-20,2020,No,CHASE BANK,NY,NATIONAL,Low
748,777,Visa,Debit,4832328468851061.0,Aug-23,580,YES,1,$68400,Jan-20,2020,No,U.S. Bank,MN,Regional,Low
441,777,Mastercard,Debit  ,5278075482033392.0,Apr-23,437,YES,2,"77,237",Jan-20,2020,No,Discover Bank,Illinois,Online,Low
3679,1946,Visa  ,Debit,4869845530765333.0,Aug-24,701,YES,2,$4488,Jul-02,2015,No,U.S. Bk,MN,Regional,Low
5701,1946,VVisa,Credit,4231526239204033.0,Feb-20,499,YES,2,$12500,Nov-14,2014,No,Capital One,VA,Online,Medium
4510,1674, Mastercard ,Debit,5813611925507601.0,Dec-20,734,YES,2,$23432,Sep-01,2008,No,Discover Bank,IL,Online,Low
2873,1674,Amex,Crdeit,366521000000000.0,May-22,447,YES,2,8800.00,May-05,2011,No,Discover Bank,Illinois,Online,Low
1461,482,Mastercard  ,Credit ,5392697458480962.0,Feb-20,886,YES,2,"12,100",Feb-20,2020,No,Wells Fargo,CA,National,Medium
442,877,Mastercard,DEBIT,5048151330736425.0,Feb-20,931,YES,1,$9708,Jan-20,2020,No,Truist,NC,Regional,Medium
3877,877, Amex ,Credit,371643000000000.0,Nov-21,683,YES,2,$12000,Jul-09,2011,No,bank of america,NC,National,Medium
2296,877,  Mastercard,debit,5700734711260263.0,Nov-23,230,YES,1,$11973,Mar-12,2012,No,ALLY BANK,MI,Online,Low
5048,128, Mastercard ,Debit,5389442391430673.0,Feb-22,658,YES,2,$13601,Oct-06,2014,No, Capital One ,VA,Online,medium
1462,128,Master Card,Credit,5079116875907423.0,Jan-24,849,YES,2,$7800,Feb-20,2020,No,Truist,NC,Regional,Medium
4269,775,VISA,Debiit,4390425683290569.0,Oct-23,790,YES,2,$17816,Aug-08,2016,No,Truist,NC,Regional,Medium
5188,1536,Mastercard,Debit,5217568630125704.0,Mar-21,625,NO,2,$17707,Oct-10,2010,No,Chase Bank,NY,National,Low
2874,1536,amex,Crdeit,397857000000000.0,Nov-20,2,YES,1,$9500,May-05,2009,No,Bank of America,NC,National,MEDIUM
3041,140, MasterCard,,5529182104663869.0,Jan-22,182,YES,1,19.1k,May-10,2011,No,Bk of America,NC,National,Medium
5312,140,Mastercard,Debit,5489017664251289.0,Aug-23,196,YES,1,$13428,Oct-16,2016,No, Wells Fargo ,CA,National,Medium
4150,140,Mastercard  ,Debit,5793675314684781.0,Jun-22,43,YES,1,$24608,Aug-05,2009,No,Ally Bank,MI,Online,Low
152,140,Mastercard,debit,5845373196638993.0,Sep-22,111,YES,1,$13441,Jan-08,2011,No,Wells Fargo,CA,National,Medium
443,1884,Mastercard,Debit (Prepaid),5750288075891808.0,Feb-20,788,YES,2,$74,Jan-20,2020,No,Wells Fargo,CA,National,Medium
3377,1874,  Mastercard,DEB,5429789020188285.0,Oct-12,674,YES,1,error_value,Jun-08,2008,No,JPMorgan Chase,NY,National,Low
5789,1874,Mastercard,Credit,5301114615829913.0,Sep-22,425,YES,1,$12900,Dec-03,2010,No,Wells Fargo,CA,National,Medium
2106,1874,Mastercard,Debit,5571104183564029.0,May-24,52,YES,2,$25264,not available,2020,No,Ally Bank,MI,Online,Low
2078,1874,Mastercard,,5401948301255038.0,Dec-22,920,YES,2,$20634,Mar-05,2007,No,Discover Bank,IL,Online Only,Low
5866,1310,Visa,CR,4295364044956975.0,Apr-07,656,YES,2,$12200,Dec-06,2010,No,Wells Fargo,CA,National,Medium
173,1310,VISA,Credit,4737484014371342.0,Feb-10,221,YES,2,5.5k,Jan-08,2008,No,Discover Bank,IL,Online,Low Risk
1771,1689,VISA,Credit,4509365132510769.0,Mar-20,281,NO,2,$6600,Feb-20,2020,No,Capital One,VA,online,Medium
6132,1689,Mastercard,Debit,5068255294282305.0,Nov-20,890,YES,1,$25815,Dec-17,2017,No,Capital One,VA,Online,Medium
327,379,,CrEdIt,354813000000000.0,Jun-21,527,YES,2,"8,400",Jan-14,2014,No,U.S. Bank,MN,Regional,Low
2019,379, Mastercard ,Debiit,5910929635230868.0,Feb-20,525,YES,1,$21628,Mar-01,2008,No,Truist,NC,Regional,Medium
3881,379,Mastercard,DB,5400182448188961.0,Oct-21,412,YES,1,5000000,Jul-09,2009,No,Bk of America,NC,National,Medium
1166,34,Mastercard,Debit,5039048842448184.0,Nov-23,339,YES,2,$10775,Feb-09,2010,No,Ally Bank,MI,Online,Low
3342,34,Mastercard,Debit (Prepaid),5672012369002302.0,Feb-20,598,YES,2,$105,Jun-07,2013,No,Discover Bank,IL,Online,Low
5622,822,visa-card,Credit,4336733185475861.0,Jan-21,221,NO,2,$7100,Nov-10,2010,No,Chase Bank,NY,National,Low
5424,822,Mastercard,DB,5985582173054292.0,Jul-24,951,YES,1,$29351,Nov-05,2007,No,Ally Bank,MI,Online,Low
2558,822,Mastercard,Debit,5281056728185174.0,Mar-20,835,YES,2,error_value,Apr-08,2012,No,Truist,NC,Regional,Medium
5385,822,Mastercard,Credit,5615660494634705.0,Nov-21,865,YES,2,$8000,Nov-03,2008,No,JPMorgan Chase,NY,National Bank,Low
5596,822, mastercard , Debit (Prepaid),5314878099448745.0,May-11,994,YES,1,83.00,Nov-10,2010,No,CHASE BANK,NY,National,Low
3991,1499,Amex  ,Credit,311095000000000.0,Jan-24,536,YES,2,$23700,Jul-12,2012,No,Capital One,VA,Online,Medium
6126,1780,Vissa,Credit,4624747592911129.0,Feb-24,986,YES,2,$700,Dec-16,2016,No,Capital One,VA,Online,Medium
3756,1806,MASTERCARD,Debiit,5595562388674401.0,Jul-24,594,YES,2,$7488,Jul-06,2016,No, Chase Bank ,NY,National,Low
971,811, Visa ,Credit,4171022488649333.0,Jan-02,225,NO,1,$24900,Feb-99,2010,No, U.S. Bank ,MN,Regional,Low
2079,811, Mastercard ,Debit,5246337038556761.0,Jun-21,638,YES,2,$30971,Mar-05,2020,No,Truist,NC,Regional,Medium
387,811,Amex,Credit,399966000000000.0,Jan-24,343,YES,1,$24400,Jan-20,2020,No,PNC Bank,PA,Regional,Low
444,811,Mastercard,Debit,5064137987234665.0,Feb-20,599,YES,2,$53549,Jan-20,2020,No,Wells Fargo,CA,National,Medium
5277,811,Visa,Debit,4905540969337037.0,Sep-18,573,YES,1,$53036,Oct-13,2013,No,Wells Fargo,CA,National,Medium
4358,811,Mastercard,Debit,5703849820939467.0,Dec-24,300,YES,1,$35750,Aug-11,2011,No,JPMorgan Chase,NY,National,Low
2318,811,Vissa,debit,4055403312631049.5,Jul-21,902,YES,1,$33375,Mar-13,2013,No, Truist ,NC,Regional,Medium
6019,1844,visa-card,Debit (Prepaid),4587476056357151.0,Jul-23,858,YES,2,$22,Dec-10,2010,No,JPMorgan Chase,NY,National,Low
4421,1844,,Credit,6521426249819196.0,Nov-20,608,YES,1,$13100,Aug-14,2014,No,Wells Fargo,CA,National Bank,Medium
3702,1844,VISA,Debit,4199712815274632.0,Oct-24,440,YES,1,16516.00,Jul-03,2011,No,Bank of America,NC,National,Medium
2854,1844,Mastercard,Credit,5172743861765175.0,Jul-16,906,YES,1,$15700,May-04,2011,No,Wells Fargo,CA,National,Medium
4114,1844,Mastercard,Debit,5214643602729093.0,May-24,474,YES,1,$21058,Aug-03,2007,No,U.S. Bank,MN,Regional,Low
28,1852,Visa,Debiit,4013876625955765.0,Oct-23,543,YES,2,$36425,Jan-02,2004,No,Ally Bank,MI,Online,Low
